customer_age,account_balance,annual_income,loan_amount,loan_duration_months,num_of_credit_cards,credit_card_utilization,monthly_salary,num_of_loans,num_of_defaults,num_of_transactions,avg_transaction_value,loan_to_income_ratio,credit_score,investment_value,savings_account_balance,fixed_deposit_amount,num_of_dependents,customer_tenure_years,emi_amount,house_value,insurance_amount,spending_score,digital_transactions_ratio,mobile_banking_usage_hours,branch_visits_per_month,internet_banking_logins,loan_interest_rate,customer_satisfaction_score,risk_factor,bank_profit
56,17871.07,1131740.96,409401.23,51,3,0.84,54136.15,2,2,116,794.15,0.93,744.98,180479.3,21687.41,118224.95,3,9.0,13161.09,3944259.84,128309.65,98.05,0.29,3.63,8,6,6.44,6.68,0.75,494405.22
69,54069.27,600090.95,188667.47,31,1,0.51,63632.0,3,2,308,1592.95,0.31,684.38,209806.33,12624.32,106389.64,2,11.93,7161.95,5528712.7,62273.87,0.33,0.89,6.29,6,21,10.82,2.43,0.11,268619.57
46,34872.99,756171.18,206035.43,13,3,0.53,63740.55,0,0,254,2639.78,0.4,730.88,90066.9,7322.53,206699.14,0,11.1,9485.74,6430959.82,91142.9,12.02,0.75,5.35,9,5,11.98,3.57,0.79,356441.45
32,21554.93,933147.71,318767.03,11,2,0.56,59817.85,1,2,227,1664.17,0.7,690.4,104209.23,34753.76,41556.6,1,3.95,12423.53,5152230.71,115780.27,54.69,0.93,10.51,0,5,6.37,2.89,0.03,373216.34
60,37068.54,345408.57,219029.55,29,0,0.17,49422.27,2,1,329,1215.09,0.29,723.49,126038.24,19304.24,157473.12,0,6.82,10080.06,3705329.29,85623.14,95.59,0.69,9.11,3,13,8.6,5.86,0.44,328103.09
25,28369.04,259797.8,246367.1,53,2,0.2,69882.21,1,0,393,2135.98,0.82,747.28,166487.41,36970.55,0.0,3,2.66,12108.01,4313987.49,90309.43,99.42,0.67,0.3,4,29,6.15,5.15,0.59,192252.8
38,83742.83,318585.92,252031.07,50,0,0.32,36194.49,2,0,66,2151.42,0.07,764.05,102480.93,677.17,176565.68,0,1.11,17364.57,4994744.56,110518.53,56.74,0.0,2.97,4,22,6.8,3.97,0.96,181269.18
56,67632.8,1015646.03,96426.15,18,2,0.59,60128.82,0,0,345,1389.77,0.79,704.55,60665.81,5505.27,158759.03,0,1.41,11654.55,4150231.66,31469.82,17.38,0.47,7.17,4,25,7.94,8.07,0.57,318447.96
36,49840.55,562035.46,248892.98,30,2,0.21,80782.3,1,0,251,1696.37,0.6,636.67,69864.82,24667.95,114232.76,0,14.17,7814.09,5354201.86,79023.38,16.31,0.2,6.68,2,11,8.36,1.85,0.16,285147.13
40,79598.88,1339549.82,194821.78,25,1,0.12,53289.4,0,0,221,2090.35,0.57,671.37,147097.26,19312.67,249980.81,2,14.78,5658.36,3623945.29,131551.86,76.39,0.32,7.75,4,13,11.64,9.77,0.52,454304.57
